"","Operator","count","Fatal","Ratio"
"136","Air taxi",4,21,1
"137","Alia Royal Jordanian Airlines",4,463,0.911417322834646
"138","American Eagle",4,90,0.909090909090909
"139","Ameriflight",4,5,1
"140","Ansett ANA",4,69,0.985714285714286
"141","Austin Airways",4,19,0.791666666666667
"142","Bali International Air Service",4,55,0.808823529411765
"143","Cameroon Airlines",4,78,0.294339622641509
"144","Central Mountain Air Services",4,22,0.956521739130435
"145","China Eastern Airlines",4,91,0.208237986270023
"146","Dan Air Services",4,278,0.902597402597403
"147","Deccan Airways",4,31,0.688888888888889
"148","Devlet Hava Yollari",4,39,0.639344262295082
"149","Fuerza Aí©rea Argentina",4,73,0.695238095238095
"150","Interflug",4,212,0.677316293929712
"151","Itavia",4,141,0.972413793103448
"152","Las Vegas Airlines",4,33,0.942857142857143
"153","Latecoere Airlines",4,22,1
"154","Loganair",4,8,0.347826086956522
"155","Middle East Airlines",4,140,1
"156","Mohawk Airlines",4,71,0.510791366906475
"157","Myanmar Airways",4,76,0.520547945205479
"158","Nigeria Airways",4,167,0.531847133757962
"159","OlympiAirways",4,195,0.924170616113744
"160","Pan American Grace Airways",4,23,1
"161","Pennsylvania Central Airlines",4,98,0.924528301886792
"162","Petroleum Helicopter",4,49,0.96078431372549
"163","SAETA",4,169,0.994117647058824
"164","TABA",4,86,0.735042735042735
"165","Taiwan Airlines",4,29,0.878787878787879
"166","Trans Mediterranean Airways",4,20,1
"167","Union of Burma Airways",4,47,0.854545454545454
"168","USAir",4,198,0.653465346534653
"169","Wideroe's Flyveselksap",4,63,0.828947368421053
"170","Zantop Air Transport",4,13,1
"171","Aaxico Airlines",3,9,1
"172","AB Aerotransport",3,58,0.90625
"173","ACES Colombia",3,40,0.975609756097561
"174","Aer Lingus",3,87,1
"175","Aeroflot / Aeroflot",3,279,1
"176","Aerolineas TAO",3,94,0.979166666666667
"177","Aeronica",3,31,0.911764705882353
"178","Aeropesca Colombia",3,79,1
"179","Aerotaca",3,13,0.448275862068966
"180","Aerovias Brasil",3,60,0.967741935483871
"181","Air Inter",3,167,0.907608695652174
"182","Air Littoral",3,21,0.567567567567568
"183","Air Logistics",3,18,0.857142857142857
"184","Air Madagascar",3,67,0.917808219178082
"185","Air Manila",3,61,0.7625
"186","Air New Zealand",3,261,0.981203007518797
"187","Ala Littoria",3,48,1
"188","Ameristar Jet Charter",3,5,0.833333333333333
"189","AtlantiSoutheast Airlines",3,38,0.666666666666667
"190","Autrex",3,12,0.444444444444444
"191","Aviation Charter - Air Taxi",3,12,1
"192","Avio Linee Italiane",3,46,0.92
"193","Azerbaijan Airlines",3,31,0.885714285714286
"194","Bakhtar Afghan Airlines",3,76,0.835164835164835
"195","BOAC",3,25,0.78125
"196","Bradley Air Services",3,13,1
"197","Cambodia Air",3,39,0.661016949152542
"198","Central African Airways",3,50,0.537634408602151
"199","Comair",3,86,0.988505747126437
"200","Continental Air Lines",3,5,1
"201","Douglas Airways",3,26,0.8125
"202","Eagle Air",3,10,1
"203","Eagle Aviation",3,40,0.666666666666667
"204","El Al",3,68,0.985507246376812
"205","Flota Aí©rea Mercante Argentina",3,12,0.235294117647059
"206","Guinea Airways",3,7,0.875
"207","Holyman Airways",3,18,1
"208","Icelandair",3,40,0.606060606060606
"209","Indamer",3,14,1
"210","Kenai Air Service - Air Taxi",3,8,1
"211","Lanica",3,20,0.555555555555556
"212","Lignes Aeriennes Latecoere",3,5,1
"213","Lloyd Aí©reo Boliviano",3,8,0.228571428571429
"214","Loide Aí©reo Nacional",3,18,0.225
"215","MAP",3,27,1
"216","Maritime Central Airways",3,85,1
"217","Milne Bay Air",3,36,0.8
"218","Missionary Aviation Fellowship",3,36,0.507042253521127
"219","New York Airways",3,12,0.315789473684211
"220","Nordeste Linhas Aí©reas",3,16,0.8
"221","PacifiCoastal Airlines",3,14,0.666666666666667
"222","Philippine Aerotransport",3,20,0.769230769230769
"223","Piedmont Airlines",3,64,0.955223880597015
"224","Prinair",3,32,0.533333333333333
"225","Sahsa Airlines",3,21,0.291666666666667
"226","SANSA",3,36,0.878048780487805
"227","SceniAir Tours",3,23,1
"228","Scottish Airlines",3,56,0.518518518518518
"229","SELVA",3,19,1
"230","Somali Airlines",3,85,0.772727272727273
"231","Sterling Airways",3,137,0.628440366972477
"232","Tajikistan Airlines",3,207,0.976415094339623
"233","TAM Lineas Aí©reas Regional",3,43,0.843137254901961
"234","Trans Australia Airlines",3,39,0.928571428571429
"235","Transair Georgia Airlines",3,134,0.708994708994709
"236","Transamerica Airlines",3,11,1
"237","Transbrasil",3,67,0.930555555555556
"238","Trigana Air Service",3,22,1
"239","Union Aeromaritime de Transport",3,17,0.2
"240","Union des Transportes Aeriens",3,263,0.992452830188679
"241","West Coast Airlines",3,25,1
"242","Western Air Express",3,15,0.652173913043478
"243","Wiggins Airways",3,4,1
"244","World Airways",3,88,0.282051282051282
"245","Yeti Airlines",3,30,0.967741935483871
"246","A B Aerotransport",2,3,0.176470588235294
"247","ADC Airlines",2,97,0.60625
"248","Aden Airways",2,45,1
"249","ADES Colombia",2,22,0.956521739130435
"250","Adventure Airlines",2,18,1
"251","Aerocaribe",2,20,0.512820512820513
"252","Aerolift",2,16,1
"253","Aerolineas Abaroa",2,21,1
"254","Aerolineas Centrales de Colombia",2,45,1
"255","Aerolineas Flecha Austral",2,8,1
"256","Aeronorte Colombia",2,6,1
"257","Aeroperlas",2,30,0.9375
"258","Aeroperu",2,76,1
"259","Aerovias Contreras",2,23,1
"260","Aerovias de Guatemala SA",2,100,1
"261","Agencia Interamericana de Aviada",2,20,0.714285714285714
"262","Air Afrique",2,56,0.256880733944954
"263","Air Atlas",2,9,0.642857142857143
"264","Air Carriers",2,12,1
"265","Air Charter",2,14,0.777777777777778
"266","Air Congo",2,23,0.741935483870968
"267","Air Express",2,6,1
"268","Air Fiordland",2,11,1
"269","Air Freight New Zealand",2,5,1
"270","Air Guadeloupe",2,28,0.848484848484849
"271","Air Laos",2,43,0.914893617021277
"272","Air Mali",2,57,0.982758620689655
"273","Air Manitoba",2,9,1
"274","Air Nautic",2,65,1
"275","Air Rhodesia",2,97,0.843478260869565
"276","Air Taxi - Basco Flying Service Inc.",2,7,0.777777777777778
"277","Air Transport",2,33,0.868421052631579
"278","Airborne Express",2,8,1
"279","AIRES Colombia",2,27,1
"280","Airfast Indonesia",2,17,0.85
"281","Airfast Services",2,37,1
"282","Airlink",2,28,1
"283","AirNow",2,2,1
"284","Airwork",2,9,0.152542372881356
"285","Alyemda",2,67,0.957142857142857
"286","Antilles Air",2,7,0.35
"287","AREA",2,69,1
"288","Associated Airways",2,3,0.75
"289","ATI",2,6,0.857142857142857
"290","Avianca",2,4,1
"291","Azerbaijani Airlines",2,74,0.725490196078431
"292","Baron Aviation",2,2,1
"293","Big Island Airlines",2,11,0.578947368421053
"294","Boeing Aircraft Company",2,18,1
"295","Bouraq Indonesia Airlines",2,54,0.666666666666667
"296","Braathens",2,42,0.736842105263158
"297","Braniff Airways",2,8,0.666666666666667
"298","Bristow Helicopters",2,12,0.6
"299","British Eagle International Airlines",2,131,1
"300","British Midland Airways",2,119,0.566666666666667
"301","Capitol Air Service - Air Taxi",2,4,0.8
"302","Capitol Airways",2,4,1
"303","Cascade Airways",2,9,0.818181818181818
"304","Central Air Transport",2,22,0.247191011235955
"305","Ceskoslovenskí© Aerolinie",2,9,1
"306","Channel Flying Service - Air Taxi",2,7,1
"307","Chartair - Air Taxi",2,10,1
"308","Chicago Southern Airlines",2,24,1
"309","China Northern Airlines",2,124,0.579439252336449
"310","China Northwest Airlines",2,215,0.787545787545788
"311","China Southern Airlines",2,176,0.818604651162791
"312","China Southwest Airlines",2,169,1
"313","Colonial Western Airlines",2,17,0.944444444444444
"314","CORAL Colombia",2,14,0.482758620689655
"315","Cordova Airlines",2,10,0.909090909090909
"316","Crossair",2,34,0.790697674418605
"317","Cruzeiro do Sul",2,11,0.392857142857143
"318","Cubana de Aviacon",2,17,0.0484330484330484
"319","Deruluft",2,20,1
"320","Djibouti Airlines",2,5,0.384615384615385
"321","Downeast Airlines",2,20,0.769230769230769
"322","DTA Angola Airlines",2,31,0.911764705882353
"323","East African Airways",2,63,0.496062992125984
"324","Eastern Air Transport",2,3,1
"325","Eastern Provincial Airways",2,9,0.642857142857143
"326","Emery Worldwide",2,5,1
"327","Empire Airlines",2,2,1
"328","Evergreen Helicopter - Air Taxi",2,7,1
"329","Executive Air - Air Taxi",2,10,1
"330","Expresso Aí©reo",2,32,0.432432432432432
"331","Federal Express",2,2,1
"332","FedEx",2,3,1
"333","Finnair",2,47,0.959183673469388
"334","Frontier Airlines",2,7,1
"335","Frontier Flying Service - Air Taxi",2,7,1
"336","Galena Air Service - Air Taxi",2,6,0.75
"337","Gay Airways - Air Taxi",2,4,0.5
"338","General Airways",2,4,0.137931034482759
"339","GP Express Airlines",2,5,0.625
"340","Grand Canyon Airlines",2,16,0.592592592592593
"341","Gulf Air",2,255,1
"342","Haí¿ti Air Inter",2,19,1
"343","Hageland Aviation Services",2,13,1
"344","Handley Page Transport",2,9,0.692307692307692
"345","Hunting Air Travel",2,33,0.523809523809524
"346","Indian National Airlines",2,41,1
"347","Iran Air Tours",2,146,0.550943396226415
"348","Iraqi Airways",2,193,0.817796610169492
"349","Island Air",2,13,0.764705882352941
