"","Operator","count","Fatal","Ratio"
"134","Aigle Azur",5,110,0.94017094017094
"135","Air Algerie",5,187,0.91219512195122
"136","Air Orient",5,17,0.739130434782609
"137","Austral Lineas Aeras (Argentina)",5,224,0.868217054263566
"138","Cathay PacifiAirways",5,140,0.509090909090909
"139","Civil Air Transport",5,152,0.684684684684685
"140","Dirgantara Air Services",5,46,0.793103448275862
"141","Formosa Airlines",5,53,0.815384615384615
"142","LANSA",5,141,0.992957746478873
"143","Linee Aeree Italiane",5,107,0.93859649122807
"144","Lufthansa",5,146,0.463492063492064
"145","MIAT - Mongolian Airlines",5,147,0.96078431372549
"146","Military - Chinese Air Force",5,125,1
"147","Military - Indonesian Air Force",5,285,0.95
"148","Military - Iranian Air Force",5,295,1
"149","Military - Nicaraguan Air Force",5,165,0.964912280701754
"150","Military - Royal Thai Air Force",5,104,0.945454545454545
"151","Military - Vietnamese Air Force",5,190,1
"152","New Zealand National Airways",5,56,0.691358024691358
"153","Northeast Airlines",5,91,0.4375
"154","PacifiWestern Airlines",5,59,0.728395061728395
"155","Pan American Airways",5,33,0.55
"156","Sudan Airways",5,223,0.507972665148064
"157","Syndicato Condor",5,36,0.818181818181818
"158","TAAG Angola Airlines",5,157,0.670940170940171
"159","Taxi Aereo el Venado",5,128,0.992248062015504
"160","Transocean Air Lines",5,106,0.576086956521739
"161","Aero O-Y",4,27,1
"162","Aeromexico",4,75,0.376884422110553
"163","Aerosucre Colombia",4,16,0.470588235294118
"164","Air taxi",4,21,1
"165","Alia Royal Jordanian Airlines",4,463,0.911417322834646
"166","American Eagle",4,90,0.909090909090909
"167","Ameriflight",4,5,1
"168","Ansett ANA",4,69,0.985714285714286
"169","Austin Airways",4,19,0.791666666666667
"170","Bali International Air Service",4,55,0.808823529411765
"171","Cameroon Airlines",4,78,0.294339622641509
"172","Central Mountain Air Services",4,22,0.956521739130435
"173","China Eastern Airlines",4,91,0.208237986270023
"174","Dan Air Services",4,278,0.902597402597403
"175","Deccan Airways",4,31,0.688888888888889
"176","Devlet Hava Yollari",4,39,0.639344262295082
"177","Fuerza Aí©rea Argentina",4,73,0.695238095238095
"178","Interflug",4,212,0.677316293929712
"179","Itavia",4,141,0.972413793103448
"180","Las Vegas Airlines",4,33,0.942857142857143
"181","Latecoere Airlines",4,22,1
"182","Loganair",4,8,0.347826086956522
"183","Middle East Airlines",4,140,1
"184","Military - Egyptian Air Force",4,72,0.935064935064935
"185","Military - Mexican Air Force",4,36,1
"186","Military - Republiof China Air Force",4,92,1
"187","Mohawk Airlines",4,71,0.510791366906475
"188","Myanmar Airways",4,76,0.520547945205479
"189","Nigeria Airways",4,167,0.531847133757962
"190","OlympiAirways",4,195,0.924170616113744
"191","Pan American Grace Airways",4,23,1
"192","Pennsylvania Central Airlines",4,98,0.924528301886792
"193","Petroleum Helicopter",4,49,0.96078431372549
"194","SAETA",4,169,0.994117647058824
"195","TABA",4,86,0.735042735042735
"196","Taiwan Airlines",4,29,0.878787878787879
"197","Trans Mediterranean Airways",4,20,1
"198","Union of Burma Airways",4,47,0.854545454545454
"199","USAir",4,198,0.653465346534653
"200","Wideroe's Flyveselksap",4,63,0.828947368421053
"201","Zantop Air Transport",4,13,1
"202","Aaxico Airlines",3,9,1
"203","AB Aerotransport",3,58,0.90625
"204","ACES Colombia",3,40,0.975609756097561
"205","Aer Lingus",3,87,1
"206","Aeroflot / Aeroflot",3,279,1
"207","Aerolineas TAO",3,94,0.979166666666667
"208","Aeronica",3,31,0.911764705882353
"209","Aeropesca Colombia",3,79,1
"210","Aerotaca",3,13,0.448275862068966
"211","Aerovias Brasil",3,60,0.967741935483871
"212","Air Inter",3,167,0.907608695652174
"213","Air Littoral",3,21,0.567567567567568
"214","Air Logistics",3,18,0.857142857142857
"215","Air Madagascar",3,67,0.917808219178082
"216","Air Manila",3,61,0.7625
"217","Air New Zealand",3,261,0.981203007518797
"218","Ala Littoria",3,48,1
"219","Ameristar Jet Charter",3,5,0.833333333333333
"220","AtlantiSoutheast Airlines",3,38,0.666666666666667
"221","Autrex",3,12,0.444444444444444
"222","Aviation Charter - Air Taxi",3,12,1
"223","Avio Linee Italiane",3,46,0.92
"224","Azerbaijan Airlines",3,31,0.885714285714286
"225","Bakhtar Afghan Airlines",3,76,0.835164835164835
"226","BOAC",3,25,0.78125
"227","Bradley Air Services",3,13,1
"228","Cambodia Air",3,39,0.661016949152542
"229","Central African Airways",3,50,0.537634408602151
"230","Comair",3,86,0.988505747126437
"231","Continental Air Lines",3,5,1
"232","Douglas Airways",3,26,0.8125
"233","Eagle Air",3,10,1
"234","Eagle Aviation",3,40,0.666666666666667
"235","El Al",3,68,0.985507246376812
"236","Flota Aí©rea Mercante Argentina",3,12,0.235294117647059
"237","Guinea Airways",3,7,0.875
"238","Holyman Airways",3,18,1
"239","Icelandair",3,40,0.606060606060606
"240","Indamer",3,14,1
"241","Kenai Air Service - Air Taxi",3,8,1
"242","Lanica",3,20,0.555555555555556
"243","Lignes Aeriennes Latecoere",3,5,1
"244","Lloyd Aí©reo Boliviano",3,8,0.228571428571429
"245","Loide Aí©reo Nacional",3,18,0.225
"246","MAP",3,27,1
"247","Maritime Central Airways",3,85,1
"248","Military - Belgian Air Force",3,85,0.841584158415842
"249","Military - Chilean Air Force",3,73,0.61864406779661
"250","Military - Ethiopian Air Force",3,153,0.927272727272727
"251","Military - French Naval Aviation",3,57,1
"252","Military - German Army",3,67,0.985294117647059
"253","Military - Imperial Iranian Air Force",3,50,1
"254","Military - IslamiRepubliof Iran Air Force",3,109,1
"255","Military - Italian Air Force",3,66,1
"256","Military - Peruvian Air Force",3,67,0.87012987012987
"257","Military - Polish Air Force",3,53,1
"258","Military - Republiof South Korea Air Force",3,121,1
"259","Military - South African Air Force",3,52,1
"260","Military - Sudan Air Force",3,91,0.664233576642336
"261","Military - Turkish Air Force",3,44,1
"262","Military - Zairean Air Force",3,87,0.956043956043956
"263","Milne Bay Air",3,36,0.8
"264","Missionary Aviation Fellowship",3,36,0.507042253521127
"265","New York Airways",3,12,0.315789473684211
"266","Nordeste Linhas Aí©reas",3,16,0.8
"267","PacifiCoastal Airlines",3,14,0.666666666666667
"268","Philippine Aerotransport",3,20,0.769230769230769
"269","Piedmont Airlines",3,64,0.955223880597015
"270","Prinair",3,32,0.533333333333333
"271","Sahsa Airlines",3,21,0.291666666666667
"272","SANSA",3,36,0.878048780487805
"273","SceniAir Tours",3,23,1
"274","Scottish Airlines",3,56,0.518518518518518
"275","SELVA",3,19,1
"276","Somali Airlines",3,85,0.772727272727273
"277","Sterling Airways",3,137,0.628440366972477
"278","Tajikistan Airlines",3,207,0.976415094339623
"279","TAM Lineas Aí©reas Regional",3,43,0.843137254901961
"280","Trans Australia Airlines",3,39,0.928571428571429
"281","Transair Georgia Airlines",3,134,0.708994708994709
"282","Transamerica Airlines",3,11,1
"283","Transbrasil",3,67,0.930555555555556
"284","Trigana Air Service",3,22,1
"285","Union Aeromaritime de Transport",3,17,0.2
"286","Union des Transportes Aeriens",3,263,0.992452830188679
"287","West Coast Airlines",3,25,1
"288","Western Air Express",3,15,0.652173913043478
"289","Wiggins Airways",3,4,1
"290","World Airways",3,88,0.282051282051282
"291","Yeti Airlines",3,30,0.967741935483871
"292","A B Aerotransport",2,3,0.176470588235294
"293","ADC Airlines",2,97,0.60625
"294","Aden Airways",2,45,1
"295","ADES Colombia",2,22,0.956521739130435
"296","Adventure Airlines",2,18,1
"297","Aerocaribe",2,20,0.512820512820513
"298","Aerolift",2,16,1
"299","Aerolineas Abaroa",2,21,1
"300","Aerolineas Centrales de Colombia",2,45,1
"301","Aerolineas Flecha Austral",2,8,1
"302","Aeronorte Colombia",2,6,1
"303","Aeroperlas",2,30,0.9375
"304","Aeroperu",2,76,1
"305","Aerovias Contreras",2,23,1
"306","Aerovias de Guatemala SA",2,100,1
"307","Agencia Interamericana de Aviada",2,20,0.714285714285714
"308","Air Afrique",2,56,0.256880733944954
"309","Air Atlas",2,9,0.642857142857143
"310","Air Carriers",2,12,1
"311","Air Charter",2,14,0.777777777777778
"312","Air Congo",2,23,0.741935483870968
"313","Air Express",2,6,1
"314","Air Fiordland",2,11,1
"315","Air Freight New Zealand",2,5,1
"316","Air Guadeloupe",2,28,0.848484848484849
"317","Air Laos",2,43,0.914893617021277
"318","Air Mali",2,57,0.982758620689655
"319","Air Manitoba",2,9,1
"320","Air Nautic",2,65,1
"321","Air Rhodesia",2,97,0.843478260869565
"322","Air Taxi - Basco Flying Service Inc.",2,7,0.777777777777778
"323","Air Transport",2,33,0.868421052631579
"324","Airborne Express",2,8,1
"325","AIRES Colombia",2,27,1
"326","Airfast Indonesia",2,17,0.85
"327","Airfast Services",2,37,1
"328","Airlink",2,28,1
"329","AirNow",2,2,1
"330","Airwork",2,9,0.152542372881356
"331","Alyemda",2,67,0.957142857142857
"332","Antilles Air",2,7,0.35
"333","AREA",2,69,1
"334","Associated Airways",2,3,0.75
"335","ATI",2,6,0.857142857142857
"336","Avianca",2,4,1
"337","Azerbaijani Airlines",2,74,0.725490196078431
"338","Baron Aviation",2,2,1
"339","Big Island Airlines",2,11,0.578947368421053
"340","Boeing Aircraft Company",2,18,1
"341","Bouraq Indonesia Airlines",2,54,0.666666666666667
"342","Braathens",2,42,0.736842105263158
"343","Braniff Airways",2,8,0.666666666666667
"344","Bristow Helicopters",2,12,0.6
"345","British Eagle International Airlines",2,131,1
"346","British Midland Airways",2,119,0.566666666666667
"347","Capitol Air Service - Air Taxi",2,4,0.8
"348","Capitol Airways",2,4,1
"349","Cascade Airways",2,9,0.818181818181818
"350","Central Air Transport",2,22,0.247191011235955
"351","Ceskoslovenskí© Aerolinie",2,9,1
"352","Channel Flying Service - Air Taxi",2,7,1
"353","Chartair - Air Taxi",2,10,1
"354","Chicago Southern Airlines",2,24,1
"355","China Northern Airlines",2,124,0.579439252336449
"356","China Northwest Airlines",2,215,0.787545787545788
"357","China Southern Airlines",2,176,0.818604651162791
"358","China Southwest Airlines",2,169,1
"359","Colonial Western Airlines",2,17,0.944444444444444
"360","CORAL Colombia",2,14,0.482758620689655
"361","Cordova Airlines",2,10,0.909090909090909
"362","Crossair",2,34,0.790697674418605
"363","Cruzeiro do Sul",2,11,0.392857142857143
"364","Cubana de Aviacon",2,17,0.0484330484330484
"365","Deruluft",2,20,1
"366","Djibouti Airlines",2,5,0.384615384615385
"367","Downeast Airlines",2,20,0.769230769230769
"368","DTA Angola Airlines",2,31,0.911764705882353
"369","East African Airways",2,63,0.496062992125984
"370","Eastern Air Transport",2,3,1
"371","Eastern Provincial Airways",2,9,0.642857142857143
"372","Emery Worldwide",2,5,1
"373","Empire Airlines",2,2,1
"374","Evergreen Helicopter - Air Taxi",2,7,1
"375","Executive Air - Air Taxi",2,10,1
"376","Expresso Aí©reo",2,32,0.432432432432432
"377","Federal Express",2,2,1
"378","FedEx",2,3,1
"379","Finnair",2,47,0.959183673469388
"380","Frontier Airlines",2,7,1
"381","Frontier Flying Service - Air Taxi",2,7,1
"382","Galena Air Service - Air Taxi",2,6,0.75
"383","Gay Airways - Air Taxi",2,4,0.5
"384","General Airways",2,4,0.137931034482759
"385","GP Express Airlines",2,5,0.625
"386","Grand Canyon Airlines",2,16,0.592592592592593
"387","Gulf Air",2,255,1
"388","Haí¿ti Air Inter",2,19,1
"389","Hageland Aviation Services",2,13,1
"390","Handley Page Transport",2,9,0.692307692307692
"391","Hunting Air Travel",2,33,0.523809523809524
"392","Indian National Airlines",2,41,1
"393","Iran Air Tours",2,146,0.550943396226415
"394","Iraqi Airways",2,193,0.817796610169492
"395","Island Air",2,13,0.764705882352941
"396","Island Airways",2,4,0.285714285714286
"397","Jamair",2,20,0.645161290322581
"398","Jett Paqueteria SA",2,5,1
"399","Juba Air Cargo",2,7,0.583333333333333
"400","Kamchatavia",2,11,0.423076923076923
"401","Karibu Airways",2,2,0.0645161290322581
"402","Kenn Borek Air",2,10,0.833333333333333
"403","Kenya Airways",2,283,0.965870307167236
"404","KNILM",2,16,0.761904761904762
"405","Kodiak Airways",2,6,0.6
"406","Korean Air",2,7,1
"407","LAC Colombia",2,11,0.733333333333333
"408","LADE",2,11,0.785714285714286
"409","Lao Aviation",2,26,0.742857142857143
"410","LARES",2,29,0.878787878787879
"411","Lineas Aí©reas La Urraca",2,18,0.642857142857143
"412","Lineas Aí©reas Nacionales",2,27,1
"413","Lineas Aereas Nacionales SA (Peru)",2,190,0.989583333333333
"414","Loftleidir IcelandiAirlines",2,188,0.704119850187266
"415","Loide Aereo Nacional",2,46,0.901960784313726
"416","Los Angeles Airways",2,44,1
"417","Malaysia Airlines",2,134,0.875816993464052
"418","Malu Aviation",2,8,0.25
"419","Mandala Airlines",2,169,0.903743315508021
"420","Martinair Holland NV",2,247,0.465160075329567
"421","Merpati Nasantara Airlines",2,18,0.9
"422","Miami Airlines",2,63,0.777777777777778
"423","Military - Azerbaijan Air Force",2,87,1
"424","Military - Bolivian Air Force",2,56,0.933333333333333
"425","Military - Chilian Air Force",2,20,1
"426","Military - Colombian Air Force",2,62,1
"427","Military - Colombian Army",2,26,0.866666666666667
"428","Military - Congolese Air Force",2,48,0.923076923076923
"429","Military - Ecuadorean Air Force",2,49,1
"430","Military - Ecuadorian Air Force",2,12,1
"431","Military - Georgian Air Force",2,83,1
"432","Military - Honduran Air Force",2,84,0.848484848484849
"433","Military - Iranian Revolutionary Guard Corps Air Force",2,49,1
"434","Military - Mauritanian Air Force",2,51,0.944444444444444
"435","Military - Mozambique Air Force",2,70,0.886075949367089
"436","Military - Nigerian Air Force",2,27,0.84375
"437","Military - Portuguese Air Force",2,37,0.725490196078431
"438","Military - Royal Belgian Air Force",2,75,0.852272727272727
"439","Military - Royal British Navy",2,25,0.735294117647059
"440","Military - Royal Indian Air Force",2,27,1
"441","Military - Royal Jordanian Air Force",2,26,1
"442","Military - Royal Nepalese Air Force",2,56,1
"443","Military - Royal Saudi Air Force",2,187,1
"444","Military - Spanish Air Force",2,16,0.421052631578947
"445","Military - U.S. Air Force / Military - U.S. Air Force",2,79,1
"446","Military - U.S. Air Force / U.S. Air Force",2,28,0.903225806451613
"447","Military - U.S. Army / Military - U.S. Army",2,44,1
"448","Military - U.S. Marine Corps/Military - U.S. Marine Corps",2,48,0.786885245901639
"449","Military - U.S. Navy / Military - U.S. Navy",2,33,0.804878048780488
"450","Military - Union of Burma Air Force",2,75,0.986842105263158
"451","Military - United States Army Air Force",2,33,0.66
"452","Military - United States Navy",2,24,0.96
"453","Military - Venezuelan Air Force",2,93,1
"454","Military - Venezuelan Army",2,24,1
"455","Military - Venezuelan Navy",2,46,0.978723404255319
"456","Military - Zambian Air Force",2,59,1
"457","MK Airlines",2,8,0.4
"458","Mountain Air Cargo",2,2,1
"459","Munz Northern Airlines",2,4,0.8
"460","Necon Air",2,19,0.703703703703704
"461","New Tribes Mission",2,36,1
"462","Nile Safaris Aviation",2,14,1
"463","Nordair",2,6,1
"464","Northeast Jet",2,3,0.75
"465","Norwegian Airlines",2,54,0.675
"466","Orient Airways",2,17,0.414634146341463
"467","PacifiAir Lines",2,45,0.714285714285714
"468","PacifiSouthwest Airlines",2,46,0.356589147286822
"469","Pan African Air Charter",2,42,1
"470","Pan American Grace Airlines",2,17,0.566666666666667
"471","Panagra",2,14,0.736842105263158
"472","Paraense Transportes Aí©reos",2,17,1
"473","PenAir",2,12,1
"474","Piedmont Airlines / Private",2,86,0.682539682539683
"475","Pilgrim Airlines",2,6,0.352941176470588
"476","Pioneer Airlines",2,11,1
"477","Polynesian Airlines",2,35,0.945945945945946
"478","Private charter",2,8,1
"479","Private Charter",2,9,1
"480","Provincetown - Boston Airlines",2,14,0.736842105263158
"481","Quebecair",2,21,0.5
"482","Queen Charlotte Airlines",2,37,0.902439024390244
"483","Queensland Airlines",2,18,1
